tool1,tool2,delta_IC,delta_FlipScore,delta_MeanPairwiseID,delta_Mismatch,delta_Match,label
clustal,mafft,-0.061950000000000005,0.009348000000000023,0.011935000000000029,0.0036760000000000126,0.019672000000000023,0
clustal,tcoffee,-0.04554199999999997,0.02498900000000004,0.001883000000000079,0.0032390000000000196,0.00858800000000004,0
clustal,muscle,-0.022762999999999978,-0.022916999999999965,-0.021406999999999954,-0.0013859999999999983,-0.016959999999999975,1
tcoffee,mafft,-0.016408000000000034,-0.015641000000000016,0.01005199999999995,0.00043699999999999295,0.011083999999999983,0
tcoffee,clustal,0.04554199999999997,-0.02498900000000004,-0.001883000000000079,-0.0032390000000000196,-0.00858800000000004,1
tcoffee,muscle,0.022778999999999994,-0.047906000000000004,-0.023290000000000033,-0.004625000000000018,-0.025548000000000015,1
muscle,mafft,-0.03918700000000003,0.03226499999999999,0.03334199999999998,0.005062000000000011,0.036632,0
muscle,clustal,0.022762999999999978,0.022916999999999965,0.021406999999999954,0.0013859999999999983,0.016959999999999975,0
muscle,tcoffee,-0.022778999999999994,0.047906000000000004,0.023290000000000033,0.004625000000000018,0.025548000000000015,0
mafft,clustal,0.0,0.0,0.0,0.0,0.0,0
mafft,tcoffee,-0.0036189999999999833,0.03604200000000002,-0.0012409999999999366,0.002238999999999991,-0.0022400000000000198,1
mafft,muscle,-0.003106999999999971,0.013158000000000003,-0.0010890000000000066,0.001678999999999986,-0.0016800000000000148,1
clustal,mafft,0.0,0.0,0.0,0.0,0.0,0
clustal,tcoffee,-0.0036189999999999833,0.03604200000000002,-0.0012409999999999366,0.002238999999999991,-0.0022400000000000198,1
clustal,muscle,-0.003106999999999971,0.013158000000000003,-0.0010890000000000066,0.001678999999999986,-0.0016800000000000148,1
tcoffee,mafft,0.0036189999999999833,-0.03604200000000002,0.0012409999999999366,-0.002238999999999991,0.0022400000000000198,0
tcoffee,clustal,0.0036189999999999833,-0.03604200000000002,0.0012409999999999366,-0.002238999999999991,0.0022400000000000198,0
tcoffee,muscle,0.0005120000000000124,-0.022884000000000015,0.00015199999999992997,-0.0005600000000000049,0.0005600000000000049,1
muscle,mafft,0.003106999999999971,-0.013158000000000003,0.0010890000000000066,-0.001678999999999986,0.0016800000000000148,0
muscle,clustal,0.003106999999999971,-0.013158000000000003,0.0010890000000000066,-0.001678999999999986,0.0016800000000000148,0
muscle,tcoffee,-0.0005120000000000124,0.022884000000000015,-0.00015199999999992997,0.0005600000000000049,-0.0005600000000000049,0
mafft,clustal,-0.04561000000000004,0.014109999999999956,-0.018583000000000016,0.01568,-0.015679,0
mafft,tcoffee,-0.062046000000000046,0.026454999999999895,-0.022067999999999977,0.019163999999999987,-0.01916299999999993,0
mafft,muscle,0.022610999999999992,-0.003527000000000058,-0.00174300000000005,0.01045299999999999,-0.010452999999999935,1
clustal,mafft,0.04561000000000004,-0.014109999999999956,0.018583000000000016,-0.01568,0.015679,1
clustal,tcoffee,-0.016436000000000006,0.01234499999999994,-0.0034849999999999604,0.003483999999999987,-0.0034839999999999316,1
clustal,muscle,0.06822100000000003,-0.017637000000000014,0.016839999999999966,-0.005227000000000009,0.005226000000000064,1
tcoffee,mafft,0.062046000000000046,-0.026454999999999895,0.022067999999999977,-0.019163999999999987,0.01916299999999993,1
tcoffee,clustal,0.016436000000000006,-0.01234499999999994,0.0034849999999999604,-0.003483999999999987,0.0034839999999999316,0
tcoffee,muscle,0.08465700000000004,-0.029981999999999953,0.020324999999999926,-0.008710999999999997,0.008709999999999996,1
muscle,mafft,-0.022610999999999992,0.003527000000000058,0.00174300000000005,-0.01045299999999999,0.010452999999999935,0
muscle,clustal,-0.06822100000000003,0.017637000000000014,-0.016839999999999966,0.005227000000000009,-0.005226000000000064,0
muscle,tcoffee,-0.08465700000000004,0.029981999999999953,-0.020324999999999926,0.008710999999999997,-0.008709999999999996,0
mafft,clustal,0.0,0.0,0.0,0.0,0.0,0
mafft,tcoffee,0.0,0.0,0.0,0.0,0.0,0
mafft,muscle,0.0,0.0,0.0,0.0,0.0,1
clustal,mafft,0.0,0.0,0.0,0.0,0.0,0
clustal,tcoffee,0.0,0.0,0.0,0.0,0.0,0
